iter	RMSE
0	8535.25705
1	8308.992785
2	8116.055369
3	7941.116517
4	7783.985154
5	7653.898209
6	7514.570131
7	7386.286842
8	7271.137642
9	7156.327611
10	7072.640602
11	6992.949383
12	6912.121362
13	6833.29653
14	6761.366964
15	6694.355119
16	6632.075547
17	6573.42457
18	6516.686622
19	6457.902269
20	6413.231122
21	6372.477282
22	6320.6063
23	6282.091015
24	6252.301765
25	6216.176681
26	6182.288924
27	6146.554604
28	6121.648142
29	6091.3478
30	6065.780582
31	6034.513477
32	6004.251963
33	5993.995213
34	5975.774546
35	5958.658796
36	5940.360652
37	5906.330398
38	5879.784304
39	5854.444452
40	5840.444774
41	5823.233385
42	5808.676508
43	5789.605458
44	5768.095649
45	5749.83758
46	5739.26869
47	5728.305081
48	5716.370811
49	5704.582006
50	5691.173611
51	5673.146844
52	5664.359791
53	5660.217378
54	5649.129894
55	5636.536517
56	5630.084671
57	5621.797912
58	5609.782035
59	5603.193783
60	5595.537961
61	5589.112294
62	5581.986137
63	5575.069344
64	5567.669933
65	5563.306665
66	5557.092012
67	5542.571375
68	5533.72199
69	5528.847317
70	5521.231278
71	5505.500315
72	5502.887941
73	5498.611945
74	5487.932129
75	5478.385557
76	5466.878282
77	5464.364322
78	5455.281508
79	5448.77561
80	5439.156615
81	5430.29733
82	5424.197841
83	5412.157087
84	5397.963327
85	5393.779293
86	5387.544297
87	5385.279651
88	5381.845026
89	5375.960612
90	5370.760824
91	5361.68379
92	5351.383675
93	5345.502207
94	5342.139911
95	5336.796405
96	5330.285758
97	5325.850836
98	5319.832231
99	5310.941883
100	5307.994121
101	5299.665502
102	5286.878445
103	5282.998228
104	5278.277854
105	5267.834481
106	5259.356978
107	5256.010712
108	5251.770157
109	5242.905502
110	5234.996992
111	5231.072317
112	5227.705195
113	5221.788027
114	5215.979448
115	5210.017584
116	5199.447073
117	5196.3556
118	5190.688703
119	5188.514232
120	5183.900015
121	5174.290927
122	5168.57288
123	5164.080746
124	5159.766054
125	5156.372006
126	5151.417506
127	5145.798634
128	5143.346125
129	5139.087345
130	5135.917253
131	5132.69109
132	5127.777029
133	5119.285402
134	5117.506723
135	5112.425416
136	5105.869466
137	5101.472925
138	5099.332628
139	5092.8749
140	5086.707236
141	5083.946918
142	5079.943228
143	5076.786881
