iter	Passed	Remaining
0	2	2504
1	4	1997
2	5	1862
3	7	1866
4	9	1864
5	11	1847
6	12	1837
7	14	1845
8	16	1814
9	18	1807
10	20	1820
11	22	1811
12	23	1820
13	25	1810
14	27	1817
15	29	1811
16	31	1798
17	32	1791
18	34	1784
19	36	1766
20	37	1766
21	39	1759
22	41	1755
23	42	1739
24	44	1745
25	46	1751
26	48	1746
27	50	1739
28	51	1735
29	53	1743
30	55	1735
31	57	1730
32	59	1733
33	60	1722
34	62	1718
35	64	1714
36	65	1711
37	67	1714
38	69	1711
39	71	1715
40	73	1710
41	75	1713
42	77	1713
43	78	1707
44	80	1703
45	82	1701
46	83	1702
47	85	1697
48	87	1692
49	89	1694
50	90	1693
51	92	1688
52	94	1679
53	96	1682
54	98	1685
55	99	1682
56	101	1677
57	102	1669
58	104	1665
59	106	1664
60	108	1663
61	109	1663
62	111	1658
63	113	1658
64	115	1657
65	116	1653
66	118	1654
67	120	1653
68	123	1663
69	125	1663
70	126	1659
71	128	1655
72	130	1654
73	132	1652
74	133	1651
75	135	1646
76	137	1645
77	138	1640
78	140	1637
79	142	1633
80	143	1631
81	145	1628
82	147	1625
83	149	1625
84	150	1621
85	153	1627
86	154	1624
87	156	1623
88	158	1620
89	159	1617
90	161	1613
91	163	1611
92	164	1608
93	166	1606
94	168	1603
95	170	1601
96	171	1599
97	173	1597
98	175	1596
99	177	1595
100	179	1596
101	180	1592
102	182	1588
103	183	1584
104	185	1583
105	187	1580
106	189	1578
107	190	1576
108	192	1576
109	194	1574
110	196	1572
111	198	1570
112	200	1570
113	201	1568
114	203	1564
115	204	1561
116	207	1562
117	208	1559
118	210	1559
119	212	1557
120	213	1554
121	215	1552
122	217	1549
123	219	1549
124	220	1546
125	222	1543
126	224	1540
127	226	1540
128	227	1537
129	229	1535
130	231	1534
131	233	1533
132	234	1529
133	236	1527
134	237	1524
135	239	1523
136	241	1521
137	243	1519
138	245	1518
139	246	1515
140	248	1514
141	250	1511
142	252	1511
143	253	1509
144	255	1508
145	257	1506
146	259	1505
147	261	1504
148	263	1502
149	264	1500
150	266	1499
151	268	1498
152	270	1496
153	272	1497
154	274	1494
155	275	1492
156	277	1491
157	280	1494
158	282	1492
159	283	1490
160	285	1488
161	287	1487
162	289	1486
163	291	1487
164	293	1485
165	295	1482
166	296	1480
167	298	1478
168	300	1476
169	302	1474
170	303	1472
171	305	1470
172	307	1468
173	308	1465
174	310	1463
175	312	1463
176	314	1462
177	316	1459
178	317	1457
179	319	1455
180	321	1454
181	323	1452
182	324	1450
183	326	1448
184	328	1446
185	329	1443
186	331	1441
187	333	1440
188	335	1438
189	336	1435
190	338	1434
191	340	1432
192	341	1429
193	343	1428
194	345	1426
195	347	1423
196	348	1422
197	350	1419
198	352	1417
199	353	1415
200	356	1417
201	358	1415
202	360	1413
203	361	1411
204	363	1408
205	364	1406
206	366	1404
207	368	1402
208	370	1401
209	372	1401
210	374	1398
211	375	1396
212	377	1395
213	379	1394
214	381	1392
215	383	1391
216	385	1390
217	386	1387
218	388	1385
219	390	1384
220	391	1381
221	393	1379
222	395	1378
223	397	1376
224	399	1375
225	401	1373
226	402	1371
227	404	1370
228	406	1368
229	408	1367
230	410	1365
231	411	1363
232	413	1361
233	415	1359
234	416	1357
235	418	1355
236	420	1353
237	422	1352
238	424	1350
239	425	1348
240	428	1348
241	429	1346
242	431	1344
243	433	1342
244	435	1340
245	436	1339
246	439	1338
247	441	1337
248	442	1335
249	444	1333
250	446	1333
251	448	1331
252	450	1329
253	452	1327
254	453	1325
255	455	1323
256	458	1324
257	459	1321
258	461	1319
259	462	1317
260	464	1315
261	466	1314
262	468	1311
263	469	1309
264	471	1307
265	473	1307
266	475	1305
267	477	1304
268	479	1302
269	480	1300
270	482	1298
271	484	1296
272	485	1293
273	487	1291
274	489	1289
275	491	1288
276	492	1285
277	494	1283
278	496	1281
279	497	1280
280	499	1278
281	501	1276
282	503	1275
283	505	1273
284	506	1271
285	508	1269
286	510	1268
287	512	1266
288	514	1264
289	515	1263
290	517	1261
291	519	1259
292	521	1257
293	522	1255
294	524	1254
295	526	1252
296	528	1250
297	530	1249
298	531	1247
299	533	1245
300	535	1243
301	537	1242
302	539	1240
303	541	1238
304	542	1236
305	544	1234
306	546	1233
307	547	1231
308	549	1228
309	551	1227
310	553	1225
311	554	1222
312	556	1220
313	557	1218
314	559	1216
315	561	1216
316	563	1214
317	564	1211
318	566	1210
319	568	1207
320	570	1206
321	571	1203
322	573	1201
323	575	1199
324	576	1197
325	578	1195
326	579	1193
327	581	1191
328	583	1189
329	584	1187
330	586	1185
331	588	1184
332	590	1182
333	592	1180
334	594	1179
335	595	1177
336	597	1175
337	599	1173
338	600	1171
339	602	1169
340	604	1167
341	606	1166
342	607	1164
343	609	1162
344	611	1160
345	612	1158
346	614	1156
347	616	1154
348	617	1152
349	619	1150
350	621	1148
351	622	1146
352	624	1144
353	626	1142
354	627	1140
355	629	1138
356	631	1137
357	633	1135
358	634	1133
359	636	1131
360	637	1129
361	639	1127
362	641	1125
363	643	1123
364	644	1121
365	646	1120
366	648	1118
367	650	1116
368	652	1116
369	654	1114
370	656	1112
371	657	1110
372	659	1109
373	661	1107
374	663	1105
375	664	1103
376	666	1101
377	668	1100
378	670	1098
379	671	1096
380	674	1095
381	676	1093
382	677	1091
383	679	1089
384	680	1087
385	682	1085
386	684	1083
387	685	1081
388	687	1080
389	689	1078
390	691	1076
391	693	1074
392	694	1073
393	696	1071
394	698	1069
395	700	1068
396	701	1066
